Sl.No,User,pre_boundary_created,pre_boundary_mod,pre_boundary_del,primary_boundary_created,primary_boundary_mod,primary_boundary_del,pre_sch_created,pre_sch_mod,pre_sch_del,primary_sch_created,primary_sch_mod,primary_sch_del,pre_stud_created,pre_stud_mod,pre_stud_del,primary_stud_created,primary_stud_mod,primary_stud_del,pre_teacher_created,pre_teacher_mod,pre_teacher_del,primary_teacher_created,primary_teacher_mod,primary_teacher_del,Assess Id,Anganwadi-Indicator-Mallur Anganwadi-Indicator Num Of correct Entries,Anganwadi-Indicator-Mallur Anganwadi-Indicator Num Of incorrect Entries,Anganwadi-Indicator-Mallur Anganwadi-Indicator Num Of verified Entries,Anganwadi-Indicator-Mallur Anganwadi-Indicator Num Of rectified Entries,Assess Id,Control Treatment English-Class 1 Pretest Num Of correct Entries,Control Treatment English-Class 1 Pretest Num Of incorrect Entries,Control Treatment English-Class 1 Pretest Num Of verified Entries,Control Treatment English-Class 1 Pretest Num Of rectified Entries,Assess Id,Control Treatment Maths-Class 1 Pretest Num Of correct Entries,Control Treatment Maths-Class 1 Pretest Num Of incorrect Entries,Control Treatment Maths-Class 1 Pretest Num Of verified Entries,Control Treatment Maths-Class 1 Pretest Num Of rectified Entries,Assess Id,Control Treatment English-Class 2 Pretest Num Of correct Entries,Control Treatment English-Class 2 Pretest Num Of incorrect Entries,Control Treatment English-Class 2 Pretest Num Of verified Entries,Control Treatment English-Class 2 Pretest Num Of rectified Entries,Assess Id,Control Treatment English-Class 3 Pretest Num Of correct Entries,Control Treatment English-Class 3 Pretest Num Of incorrect Entries,Control Treatment English-Class 3 Pretest Num Of verified Entries,Control Treatment English-Class 3 Pretest Num Of rectified Entries,Assess Id,Control Treatment English-Class 4 Pretest Num Of correct Entries,Control Treatment English-Class 4 Pretest Num Of incorrect Entries,Control Treatment English-Class 4 Pretest Num Of verified Entries,Control Treatment English-Class 4 Pretest Num Of rectified Entries,Assess Id,Control Treatment Maths-Class 2 Pretest Num Of correct Entries,Control Treatment Maths-Class 2 Pretest Num Of incorrect Entries,Control Treatment Maths-Class 2 Pretest Num Of verified Entries,Control Treatment Maths-Class 2 Pretest Num Of rectified Entries,Assess Id,Control Treatment Maths-Class 3 Pretest Num Of correct Entries,Control Treatment Maths-Class 3 Pretest Num Of incorrect Entries,Control Treatment Maths-Class 3 Pretest Num Of verified Entries,Control Treatment Maths-Class 3 Pretest Num Of rectified Entries,Assess Id,Control Treatment Maths-Class 4 Pretest Num Of correct Entries,Control Treatment Maths-Class 4 Pretest Num Of incorrect Entries,Control Treatment Maths-Class 4 Pretest Num Of verified Entries,Control Treatment Maths-Class 4 Pretest Num Of rectified Entries,Assess Id,Control Treatment Maths-Class 5 Pretest Num Of correct Entries,Control Treatment Maths-Class 5 Pretest Num Of incorrect Entries,Control Treatment Maths-Class 5 Pretest Num Of verified Entries,Control Treatment Maths-Class 5 Pretest Num Of rectified Entries
1,ak10dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,168,0,0,0,0,169,0,0,0,0,175,0,0,0,0,176,0,0,0,0,177,0,0,0,0,178,0,0,0,0,179,0,0,0,0,180,0,0,0,0,181,0,0,0,0
2,ak10gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,168,0,0,0,0,169,0,0,0,0,175,0,0,0,0,176,0,0,0,0,177,0,0,0,0,178,0,0,0,0,179,0,0,0,0,180,0,0,0,0,181,0,0,0,0
3,ak10kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,168,0,0,0,0,169,0,0,0,0,175,0,0,0,0,176,0,0,0,0,177,0,0,0,0,178,0,0,0,0,179,0,0,0,0,180,0,0,0,0,181,0,0,0,0
4,ak11dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,168,0,0,0,0,169,0,0,0,0,175,0,0,0,0,176,0,0,0,0,177,0,0,0,0,178,0,0,0,0,179,0,0,0,0,180,0,0,0,0,181,0,0,0,0
5,ak12dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,168,0,0,0,0,169,0,0,0,0,175,0,0,0,0,176,0,0,0,0,177,0,0,0,0,178,0,0,0,0,179,0,0,0,0,180,0,0,0,0,181,0,0,0,0
6,ak13dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,168,0,0,0,0,169,0,0,0,0,175,0,0,0,0,176,0,0,0,0,177,0,0,0,0,178,0,0,0,0,179,0,0,0,0,180,0,0,0,0,181,0,0,0,0
7,ak14dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,168,0,0,0,0,169,0,0,0,0,175,0,0,0,0,176,0,0,0,0,177,0,0,0,0,178,0,0,0,0,179,0,0,0,0,180,0,0,0,0,181,0,0,0,0
8,ak15dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,168,0,0,0,0,169,0,0,0,0,175,0,0,0,0,176,0,0,0,0,177,0,0,0,0,178,0,0,0,0,179,0,0,0,0,180,0,0,0,0,181,0,0,0,0
9,ak1dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,168,0,0,0,0,169,0,0,0,0,175,0,0,0,0,176,0,0,0,0,177,0,0,0,0,178,0,0,0,0,179,0,0,0,0,180,0,0,0,0,181,0,0,0,0
10,ak1gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,168,0,0,0,0,169,0,0,0,0,175,0,0,0,0,176,0,0,0,0,177,0,0,0,0,178,0,0,0,0,179,0,0,0,0,180,0,0,0,0,181,0,0,0,0
