Sl.No,User,pre_boundary_created,pre_boundary_mod,pre_boundary_del,primary_boundary_created,primary_boundary_mod,primary_boundary_del,pre_sch_created,pre_sch_mod,pre_sch_del,primary_sch_created,primary_sch_mod,primary_sch_del,pre_stud_created,pre_stud_mod,pre_stud_del,primary_stud_created,primary_stud_mod,primary_stud_del,pre_teacher_created,pre_teacher_mod,pre_teacher_del,primary_teacher_created,primary_teacher_mod,primary_teacher_del
1,ak1dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ak3dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,13,28,0,0,0,0,0,0
3,ak4dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,34,0,0,0,0,0,0
4,ak5dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,0,0,0,0,0,0,0
5,ak6dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,27,17,0,0,0,0,0,0
6,ak7dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,22,0,0,0,0,0,0
7,gayathri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,1,243,0,0,0,16,0,0
8,mohsina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,3,463,0,0,0,14,1,0
9,munirathna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,2,211,0,0,0,62,0,0
10,nalini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,8,282,0,0,0,1,0,0
11,roopa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,1,184,0,0,0,0,0,0
12,sunitha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
