Sl.No,User,pre_boundary_created,pre_boundary_mod,pre_boundary_del,primary_boundary_created,primary_boundary_mod,primary_boundary_del,pre_sch_created,pre_sch_mod,pre_sch_del,primary_sch_created,primary_sch_mod,primary_sch_del,pre_stud_created,pre_stud_mod,pre_stud_del,primary_stud_created,primary_stud_mod,primary_stud_del,pre_teacher_created,pre_teacher_mod,pre_teacher_del,primary_teacher_created,primary_teacher_mod,primary_teacher_del,Assess Id,Anganwadi-Indicator-Bangalore Anganwadi-Indicator Num Of correct Entries,Anganwadi-Indicator-Bangalore Anganwadi-Indicator Num Of incorrect Entries,Anganwadi-Indicator-Bangalore Anganwadi-Indicator Num Of verified Entries,Anganwadi-Indicator-Bangalore Anganwadi-Indicator Num Of rectified Entries
1,ak2dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,202,0,0,0,0
2,ak3dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,5,124,0,0,0,0,0,0,202,0,0,0,0
3,ak4dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,44,3,0,0,0,0,0,0,202,0,0,0,0
4,ak6dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,15,143,0,0,0,0,0,0,202,0,0,0,0
5,ak7dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,58,0,0,0,0,0,0,202,0,0,0,0
6,gayathri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,202,0,0,0,0
7,mohsina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,202,210,0,0,0
8,munirathna,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,8,0,0,0,0,0,0,202,0,0,0,0
9,roopa,0,0,0,0,0,0,0,0,0,0,0,0,0,48,3,0,0,0,0,0,0,0,0,0,202,0,0,0,0
10,sunitha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0
