Sl.No,User,pre_boundary_created,pre_boundary_mod,pre_boundary_del,primary_boundary_created,primary_boundary_mod,primary_boundary_del,pre_sch_created,pre_sch_mod,pre_sch_del,primary_sch_created,primary_sch_mod,primary_sch_del,pre_stud_created,pre_stud_mod,pre_stud_del,primary_stud_created,primary_stud_mod,primary_stud_del,pre_teacher_created,pre_teacher_mod,pre_teacher_del,primary_teacher_created,primary_teacher_mod,primary_teacher_del,Assess Id,Akshara Ganita-Class 2 Pretest Num Of correct Entries,Akshara Ganita-Class 2 Pretest Num Of incorrect Entries,Akshara Ganita-Class 2 Pretest Num Of verified Entries,Akshara Ganita-Class 2 Pretest Num Of rectified Entries,Assess Id,Akshara Ganita-Class 3 Pretest Num Of correct Entries,Akshara Ganita-Class 3 Pretest Num Of incorrect Entries,Akshara Ganita-Class 3 Pretest Num Of verified Entries,Akshara Ganita-Class 3 Pretest Num Of rectified Entries,Assess Id,Akshara Ganita-Class 4 Pretest Num Of correct Entries,Akshara Ganita-Class 4 Pretest Num Of incorrect Entries,Akshara Ganita-Class 4 Pretest Num Of verified Entries,Akshara Ganita-Class 4 Pretest Num Of rectified Entries,Assess Id,Akshara Ganita-Class 5 Pretest Num Of correct Entries,Akshara Ganita-Class 5 Pretest Num Of incorrect Entries,Akshara Ganita-Class 5 Pretest Num Of verified Entries,Akshara Ganita-Class 5 Pretest Num Of rectified Entries,Assess Id,Akshara English -Class 2 Pretest Num Of correct Entries,Akshara English -Class 2 Pretest Num Of incorrect Entries,Akshara English -Class 2 Pretest Num Of verified Entries,Akshara English -Class 2 Pretest Num Of rectified Entries,Assess Id,Akshara English -Class 3 Pretest Num Of correct Entries,Akshara English -Class 3 Pretest Num Of incorrect Entries,Akshara English -Class 3 Pretest Num Of verified Entries,Akshara English -Class 3 Pretest Num Of rectified Entries,Assess Id,Akshara English -Class 4 Pretest Num Of correct Entries,Akshara English -Class 4 Pretest Num Of incorrect Entries,Akshara English -Class 4 Pretest Num Of verified Entries,Akshara English -Class 4 Pretest Num Of rectified Entries,Assess Id,Anganwadi-Pretest (2.5-4.5) Num Of correct Entries,Anganwadi-Pretest (2.5-4.5) Num Of incorrect Entries,Anganwadi-Pretest (2.5-4.5) Num Of verified Entries,Anganwadi-Pretest (2.5-4.5) Num Of rectified Entries,Assess Id,Anganwadi-Pretest (4.5-above) Num Of correct Entries,Anganwadi-Pretest (4.5-above) Num Of incorrect Entries,Anganwadi-Pretest (4.5-above) Num Of verified Entries,Anganwadi-Pretest (4.5-above) Num Of rectified Entries
1,ak1dwd,0,0,0,0,0,0,0,0,0,0,0,0,1414,1414,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,184,0,0,0,0,185,0,0,0,0,186,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,0,0,191,0,0,0,0
2,ak1kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,184,0,0,0,0,185,0,0,0,0,186,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,0,0,191,0,0,0,0
3,ak2dwd,0,0,0,0,0,0,1,0,0,0,0,0,335,335,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,184,0,0,0,0,185,0,0,0,0,186,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,0,0,191,0,0,0,0
4,ak2kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,184,0,0,0,0,185,0,0,0,0,186,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,0,0,191,0,0,0,0
5,ak3dwd,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,184,0,0,0,0,185,0,0,0,0,186,1,0,0,0,187,2,0,0,0,188,0,0,0,0,189,1,0,0,0,190,15422,51,14312,42,191,10260,158,10316,42
6,ak4dwd,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,184,1,1,0,0,185,0,0,0,0,186,1,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,16522,42,7753,168,191,12150,42,5826,154
7,ak5dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,184,0,0,0,0,185,0,0,0,0,186,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,9240,184,8542,43,191,7110,162,5278,155
8,ak6dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,184,0,0,0,0,185,0,0,0,0,186,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,1260,16,191,0,0,1072,8
9,ak7dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,184,0,0,0,0,185,0,0,0,0,186,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,412,8,191,0,0,477,3
10,gayathri,0,0,0,0,0,0,0,0,0,0,0,0,215,215,0,41,41,0,0,0,0,0,0,0,183,8064,144,6447,105,184,780,122,14513,462,185,891,114,11398,1208,186,750,39,11393,937,187,7264,60,5692,36,188,676,0,9574,50,189,1127,38,8913,57,190,5566,15,3713,27,191,2730,15,1217,13
