Sl.No,User,pre_boundary_created,pre_boundary_mod,pre_boundary_del,primary_boundary_created,primary_boundary_mod,primary_boundary_del,pre_sch_created,pre_sch_mod,pre_sch_del,primary_sch_created,primary_sch_mod,primary_sch_del,pre_stud_created,pre_stud_mod,pre_stud_del,primary_stud_created,primary_stud_mod,primary_stud_del,pre_teacher_created,pre_teacher_mod,pre_teacher_del,primary_teacher_created,primary_teacher_mod,primary_teacher_del,Assess Id,Akshara Ganita-Class 2 Pretest Num Of correct Entries,Akshara Ganita-Class 2 Pretest Num Of incorrect Entries,Akshara Ganita-Class 2 Pretest Num Of verified Entries,Akshara Ganita-Class 2 Pretest Num Of rectified Entries,Assess Id,Akshara Ganita-Class 3 Pretest Num Of correct Entries,Akshara Ganita-Class 3 Pretest Num Of incorrect Entries,Akshara Ganita-Class 3 Pretest Num Of verified Entries,Akshara Ganita-Class 3 Pretest Num Of rectified Entries,Assess Id,Akshara Ganita-Class 4 Pretest Num Of correct Entries,Akshara Ganita-Class 4 Pretest Num Of incorrect Entries,Akshara Ganita-Class 4 Pretest Num Of verified Entries,Akshara Ganita-Class 4 Pretest Num Of rectified Entries,Assess Id,Akshara Ganita-Class 5 Pretest Num Of correct Entries,Akshara Ganita-Class 5 Pretest Num Of incorrect Entries,Akshara Ganita-Class 5 Pretest Num Of verified Entries,Akshara Ganita-Class 5 Pretest Num Of rectified Entries,Assess Id,Akshara English -Class 2 Pretest Num Of correct Entries,Akshara English -Class 2 Pretest Num Of incorrect Entries,Akshara English -Class 2 Pretest Num Of verified Entries,Akshara English -Class 2 Pretest Num Of rectified Entries,Assess Id,Akshara English -Class 3 Pretest Num Of correct Entries,Akshara English -Class 3 Pretest Num Of incorrect Entries,Akshara English -Class 3 Pretest Num Of verified Entries,Akshara English -Class 3 Pretest Num Of rectified Entries,Assess Id,Akshara English -Class 4 Pretest Num Of correct Entries,Akshara English -Class 4 Pretest Num Of incorrect Entries,Akshara English -Class 4 Pretest Num Of verified Entries,Akshara English -Class 4 Pretest Num Of rectified Entries,Assess Id,Anganwadi-Indicator-Bangalore Anganwadi-Indicator Num Of correct Entries,Anganwadi-Indicator-Bangalore Anganwadi-Indicator Num Of incorrect Entries,Anganwadi-Indicator-Bangalore Anganwadi-Indicator Num Of verified Entries,Anganwadi-Indicator-Bangalore Anganwadi-Indicator Num Of rectified Entries
1,ak10kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,183,1243,117,1017,133,184,3203,321,1233,1019,185,3201,168,1144,1485,186,2641,223,836,1186,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,202,0,0,0,0
2,ak1dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,184,0,0,0,0,185,0,0,0,0,186,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,202,0,0,0,0
3,ak1gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,184,0,0,0,0,185,0,0,0,0,186,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,202,0,0,0,0
4,ak1kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,183,3296,69,4969,156,184,5072,259,13042,1314,185,4069,169,12280,963,186,3391,139,8590,840,187,80,1,0,0,188,275,0,0,0,189,161,0,0,0,202,2,0,0,0
5,ak2kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,183,4162,214,0,0,184,8190,826,0,0,185,8121,645,0,0,186,5881,572,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,202,0,0,0,0
6,ak3dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,184,0,0,0,0,185,0,0,0,0,186,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,202,0,0,0,0
7,ak3kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,183,10081,420,8984,231,184,21060,1250,19876,1376,185,21352,904,17452,851,186,15660,1072,14762,624,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,202,0,0,0,0
8,ak4kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,183,14459,1906,13103,670,184,32921,4412,28330,1994,185,30338,3836,25155,2770,186,25974,3415,22114,1945,187,0,0,95,1,188,0,0,275,0,189,0,0,161,0,202,6,0,0,0
9,ak5kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,183,4862,461,0,0,184,11161,1098,0,0,185,11189,1317,0,0,186,9486,837,0,30,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,202,0,0,0,0
10,ak6kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,183,9180,3789,10922,1613,184,17797,7821,27556,3765,185,16168,7499,22392,3296,186,14178,7171,20415,2754,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,202,22,6,0,0
11,ak7kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,87,0,0,0,0,0,0,0,183,15434,505,13580,1193,184,33783,2328,28130,2414,185,30925,1837,28761,1810,186,25682,1485,21243,1797,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,202,3,0,0,0
12,ak8kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0,0,0,0,0,0,0,183,17147,950,19559,2138,184,39797,2255,38478,4800,185,34684,2925,35485,4273,186,27886,1728,30304,3777,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,202,0,0,0,0
13,ak9kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,183,9534,1071,11100,3366,184,18578,2533,25424,6403,185,16565,2549,24305,6389,186,14456,2260,19249,5943,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,202,2,0,0,0
