Sl.No,User,pre_boundary_created,pre_boundary_mod,pre_boundary_del,primary_boundary_created,primary_boundary_mod,primary_boundary_del,pre_sch_created,pre_sch_mod,pre_sch_del,primary_sch_created,primary_sch_mod,primary_sch_del,pre_stud_created,pre_stud_mod,pre_stud_del,primary_stud_created,primary_stud_mod,primary_stud_del,pre_teacher_created,pre_teacher_mod,pre_teacher_del,primary_teacher_created,primary_teacher_mod,primary_teacher_del
1,ak10dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3384,0,14,0,0,0,0,0,0
2,ak11dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1831,70,51,0,0,0,0,0,0
3,ak12dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267,0,118,0,0,0,0,0,0
4,ak1dwd,0,0,0,0,0,0,0,0,0,20,1,19,0,0,0,1115,1,32,0,0,0,0,0,0
5,ak2dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0
6,ak3dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,5,0,0,0,0,0,0,0
7,ak4dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7797,239,346,0,0,0,0,0,0
8,ak6dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5414,217,517,0,0,0,0,0,0
9,ak7dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5958,0,330,0,0,0,0,0,0
10,ak9dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2387,7,144,0,0,0,0,0,0
11,roopa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,sunitha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
