Sl.No,User,pre_boundary_created,pre_boundary_mod,pre_boundary_del,primary_boundary_created,primary_boundary_mod,primary_boundary_del,pre_sch_created,pre_sch_mod,pre_sch_del,primary_sch_created,primary_sch_mod,primary_sch_del,pre_stud_created,pre_stud_mod,pre_stud_del,primary_stud_created,primary_stud_mod,primary_stud_del,pre_teacher_created,pre_teacher_mod,pre_teacher_del,primary_teacher_created,primary_teacher_mod,primary_teacher_del,Assess Id,Akshara Ganita-Class 2 Pretest Num Of correct Entries,Akshara Ganita-Class 2 Pretest Num Of incorrect Entries,Akshara Ganita-Class 2 Pretest Num Of verified Entries,Akshara Ganita-Class 2 Pretest Num Of rectified Entries,Assess Id,Akshara Ganita-Class 3 Pretest Num Of correct Entries,Akshara Ganita-Class 3 Pretest Num Of incorrect Entries,Akshara Ganita-Class 3 Pretest Num Of verified Entries,Akshara Ganita-Class 3 Pretest Num Of rectified Entries,Assess Id,Akshara Ganita-Class 4 Pretest Num Of correct Entries,Akshara Ganita-Class 4 Pretest Num Of incorrect Entries,Akshara Ganita-Class 4 Pretest Num Of verified Entries,Akshara Ganita-Class 4 Pretest Num Of rectified Entries,Assess Id,Akshara Ganita-Class 5 Pretest Num Of correct Entries,Akshara Ganita-Class 5 Pretest Num Of incorrect Entries,Akshara Ganita-Class 5 Pretest Num Of verified Entries,Akshara Ganita-Class 5 Pretest Num Of rectified Entries,Assess Id,Akshara English -Class 2 Pretest Num Of correct Entries,Akshara English -Class 2 Pretest Num Of incorrect Entries,Akshara English -Class 2 Pretest Num Of verified Entries,Akshara English -Class 2 Pretest Num Of rectified Entries,Assess Id,Akshara English -Class 3 Pretest Num Of correct Entries,Akshara English -Class 3 Pretest Num Of incorrect Entries,Akshara English -Class 3 Pretest Num Of verified Entries,Akshara English -Class 3 Pretest Num Of rectified Entries,Assess Id,Akshara English -Class 4 Pretest Num Of correct Entries,Akshara English -Class 4 Pretest Num Of incorrect Entries,Akshara English -Class 4 Pretest Num Of verified Entries,Akshara English -Class 4 Pretest Num Of rectified Entries
1,ak10gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,183,3528,679,5071,200,184,5734,673,11191,742,185,5413,736,8359,566,186,4200,507,10250,855,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0
2,ak1dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,184,0,0,0,0,185,0,0,0,0,186,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0
3,ak1gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,183,1944,93,1578,42,184,3591,271,3130,107,185,2939,116,2456,151,186,2671,72,2747,124,187,0,0,0,0,188,0,0,0,0,189,46,0,23,0
4,ak1kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,183,0,0,0,0,184,0,0,0,0,185,0,0,0,0,186,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0
5,ak2gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,0,183,3762,87,2499,327,184,9711,349,3562,728,185,6039,188,3445,20,186,5820,264,3426,234,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0
6,ak3gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,183,3456,328,3137,49,184,6825,708,5885,214,185,5379,223,3587,76,186,6059,259,2195,85,187,0,0,0,0,188,25,0,0,0,189,0,0,0,0
7,ak4gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,183,8280,528,4762,539,184,16849,1222,9849,415,185,13531,640,7156,700,186,12183,1142,6992,497,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0
8,ak5gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,183,5184,238,4335,199,184,10115,470,10710,942,185,8188,464,8581,379,186,8071,481,6374,481,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0
9,ak5kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,184,0,0,0,0,185,0,0,0,0,186,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0
10,ak6gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,183,1620,6,6276,366,184,3279,75,13225,901,185,2448,145,9304,324,186,2760,124,9556,633,187,0,0,272,0,188,0,0,572,3,189,0,0,296,3
