Sl.No,User,pre_sch_created,pre_sch_mod,pre_sch_del,primary_sch_created,primary_sch_mod,primary_sch_del,pre_stud_created,pre_stud_mod,pre_stud_del,primary_stud_created,primary_stud_mod,primary_stud_del,pre_teacher_created,pre_teacher_mod,pre_teacher_del,primary_teacher_created,primary_teacher_mod,primary_teacher_del,Assess Id,RCT English-1st Pretest Num Of correct Entries,RCT English-1st Pretest Num Of incorrect Entries,RCT English-1st Pretest Num Of verified Entries,RCT English-1st Pretest Num Of rectified Entries,Assess Id,test-testflex Num Of correct Entries,test-testflex Num Of incorrect Entries,test-testflex Num Of verified Entries,test-testflex Num Of rectified Entries,Assess Id,TestFlexiAssessment-flexifordateInst Num Of correct Entries,TestFlexiAssessment-flexifordateInst Num Of incorrect Entries,TestFlexiAssessment-flexifordateInst Num Of verified Entries,TestFlexiAssessment-flexifordateInst Num Of rectified Entries,Assess Id,TestFlexiAssessment-FlexiVarCharAsssess Num Of correct Entries,TestFlexiAssessment-FlexiVarCharAsssess Num Of incorrect Entries,TestFlexiAssessment-FlexiVarCharAsssess Num Of verified Entries,TestFlexiAssessment-FlexiVarCharAsssess Num Of rectified Entries,Assess Id,TestFlexiAssessment-flexiforintegerInst Num Of correct Entries,TestFlexiAssessment-flexiforintegerInst Num Of incorrect Entries,TestFlexiAssessment-flexiforintegerInst Num Of verified Entries,TestFlexiAssessment-flexiforintegerInst Num Of rectified Entries,Assess Id,schoolprog-generalassessment Num Of correct Entries,schoolprog-generalassessment Num Of incorrect Entries,schoolprog-generalassessment Num Of verified Entries,schoolprog-generalassessment Num Of rectified Entries,Assess Id,prog_shiv-flexilookup Num Of correct Entries,prog_shiv-flexilookup Num Of incorrect Entries,prog_shiv-flexilookup Num Of verified Entries,prog_shiv-flexilookup Num Of rectified Entries,Assess Id,prog_shiv-shiv_school_ass_flexi_single_int Num Of correct Entries,prog_shiv-shiv_school_ass_flexi_single_int Num Of incorrect Entries,prog_shiv-shiv_school_ass_flexi_single_int Num Of verified Entries,prog_shiv-shiv_school_ass_flexi_single_int Num Of rectified Entries,Assess Id,Cultural-new-flexi-lookup Num Of correct Entries,Cultural-new-flexi-lookup Num Of incorrect Entries,Cultural-new-flexi-lookup Num Of verified Entries,Cultural-new-flexi-lookup Num Of rectified Entries,Assess Id,Cultural-new-flexi-date Num Of correct Entries,Cultural-new-flexi-date Num Of incorrect Entries,Cultural-new-flexi-date Num Of verified Entries,Cultural-new-flexi-date Num Of rectified Entries,Assess Id,Cultural-New Num Of correct Entries,Cultural-New Num Of incorrect Entries,Cultural-New Num Of verified Entries,Cultural-New Num Of rectified Entries,Assess Id,Cultural-mah-test-char Num Of correct Entries,Cultural-mah-test-char Num Of incorrect Entries,Cultural-mah-test-char Num Of verified Entries,Cultural-mah-test-char Num Of rectified Entries
1,ak10dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,200,0,0,0,0,139,0,0,0,0,111,0,0,0,0,208,0,0,0,0,311,0,0,0,0,312,0,0,0,0,249,0,0,0,0,314,0,0,0,0,155,0,0,0,0,156,0,0,0,0,157,0,0,0,0
2,ak10kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,200,0,0,0,0,139,0,0,0,0,111,0,0,0,0,208,0,0,0,0,311,0,0,0,0,312,0,0,0,0,249,0,0,0,0,314,0,0,0,0,155,0,0,0,0,156,0,0,0,0,157,0,0,0,0
3,ak11dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,200,0,0,0,0,139,0,0,0,0,111,0,0,0,0,208,0,0,0,0,311,0,0,0,0,312,0,0,0,0,249,0,0,0,0,314,0,0,0,0,155,0,0,0,0,156,0,0,0,0,157,0,0,0,0
4,ak12dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,200,0,0,0,0,139,0,0,0,0,111,0,0,0,0,208,0,0,0,0,311,0,0,0,0,312,0,0,0,0,249,0,0,0,0,314,0,0,0,0,155,0,0,0,0,156,0,0,0,0,157,0,0,0,0
5,ak13dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,200,0,0,0,0,139,0,0,0,0,111,0,0,0,0,208,0,0,0,0,311,0,0,0,0,312,0,0,0,0,249,0,0,0,0,314,0,0,0,0,155,0,0,0,0,156,0,0,0,0,157,0,0,0,0
6,ak14dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,200,0,0,0,0,139,0,0,0,0,111,0,0,0,0,208,0,0,0,0,311,0,0,0,0,312,0,0,0,0,249,0,0,0,0,314,0,0,0,0,155,0,0,0,0,156,0,0,0,0,157,0,0,0,0
7,ak15dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,200,0,0,0,0,139,0,0,0,0,111,0,0,0,0,208,0,0,0,0,311,0,0,0,0,312,0,0,0,0,249,0,0,0,0,314,0,0,0,0,155,0,0,0,0,156,0,0,0,0,157,0,0,0,0
8,ak1dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,200,0,0,0,0,139,0,0,0,0,111,0,0,0,0,208,0,0,0,0,311,0,0,0,0,312,0,0,0,0,249,0,0,0,0,314,0,0,0,0,155,0,0,0,0,156,0,0,0,0,157,0,0,0,0
9,ak1gul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,200,0,0,0,0,139,0,0,0,0,111,0,0,0,0,208,0,0,0,0,311,0,0,0,0,312,0,0,0,0,249,0,0,0,0,314,0,0,0,0,155,0,0,0,0,156,0,0,0,0,157,0,0,0,0
10,ak1kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,200,0,0,0,0,139,0,0,0,0,111,0,0,0,0,208,0,0,0,0,311,0,0,0,0,312,0,0,0,0,249,0,0,0,0,314,0,0,0,0,155,0,0,0,0,156,0,0,0,0,157,0,0,0,0
